Id_commune;Nom_commune;Code_departement;Code_commune;Id_region
3210;PARIS 18;75;118;11
3209;PARIS 17;75;117;11
3207;PARIS 15;75;115;11
3208;PARIS 16;75;116;11
3203;PARIS 11;75;111;11
3211;PARIS 20;75;120;11
3212;PARIS 19;75;119;11
3201;PARIS 10;75;110;11
3204;PARIS 12;75;112;11
3206;PARIS 14;75;114;11
3202;PARIS 09;75;109;11
3195;PARIS 03;75;103;11
3198;PARIS 06;75;106;11
3197;PARIS 08;75;108;11
3199;PARIS 07;75;107;11
3205;PARIS 13;75;113;11
3214;PARIS 02;75;102;11
3200;PARIS 05;75;105;11
3213;PARIS 04;75;104;11
3196;PARIS 01;75;101;11
3052;ABLON-SUR-SEINE;94;1;11
3041;ARCUEIL;94;3;11
3044;BOISSY-SAINT-LEGER;94;4;11
3027;BONNEUIL-SUR-MARNE;94;11;11
3062;BRY-SUR-MARNE;94;15;11
3029;CACHAN;94;16;11
3046;CHENNEVIERES SUR MARNE;94;19;11
3038;CHEVILLY-LARUE;94;21;11
3033;CHOISY-LE-ROI;94;22;11
3032;FRESNES;94;34;11
3040;GENTILLY;94;37;11
3028;IVRY-SUR-SEINE;94;41;11
3022;JOINVILLE-LE-PONT;94;42;11
3036;L'HAY-LES-ROSES;94;38;11
3047;LA QUEUE-EN-BRIE;94;60;11
3030;LE KREMLIN-BICETRE;94;43;11
3053;LE PLESSIS-TREVISE;94;59;11
3050;LIMEIL-BREVANNES;94;44;11
3054;MANDRES-LES-ROSES;94;47;11
3059;MAROLLES-EN-BRIE;94;48;11
3056;NOISEAU;94;53;11
3037;ORLY;94;54;11
3058;ORMESSON-SUR-MARNE;94;55;11
3043;PERIGNY;94;56;11
3039;RUNGIS;94;65;11
3057;SANTENY;94;70;11
3019;ST MAURICE;94;69;11
3049;SUCY-EN-BRIE;94;71;11
3035;THIAIS;94;73;11
3045;VALENTON;94;74;11
3051;VILLECRESNES;94;75;11
3031;VILLEJUIF;94;76;11
3055;VILLENEUVE-LE-ROI;94;77;11
3042;VILLENEUVE-SAINT-GEORGES;94;78;11
3048;VILLIERS-SUR-MARNE;94;79;11
3026;CRETEIL;94;28;11
3025;CHARENTON-LE-PONT;94;18;11
3064;FONTENAY-SOUS-BOIS;94;33;11
3063;SAINT-MANDE;94;67;11
3034;VITRY-SUR-SEINE;94;81;11
3066;CHAMPIGNY-SUR-MARNE;94;17;11
3023;ALFORTVILLE;94;2;11
3065;LE PERREUX-SUR-MARNE;94;58;11
3060;NOGENT-SUR-MARNE;94;52;11
3024;MAISONS-ALFORT;94;46;11
3021;SAINT-MAUR-DES-FOSSES;94;68;11
3061;VINCENNES;94;80;11
2945;COURBEVOIE;92;26;11
2952;LEVALLOIS-PERRET;92;44;11
2954;NEUILLY-SUR-SEINE;92;51;11
2942;RUEIL-MALMAISON;92;63;11
2953;CLICHY;92;24;11
2941;PUTEAUX;92;62;11
2948;ASNIERES-SUR-SEINE;92;4;11
2968;MONTROUGE;92;49;11
2943;SURESNES;92;73;11
2967;ISSY-LES-MOULINEAUX;92;40;11
2944;NANTERRE;92;50;11
2971;ANTONY;92;2;11
2976;BAGNEUX;92;7;11
2946;BOIS-COLOMBES;92;9;11
2966;BOURG-LA-REINE;92;14;11
2965;CHATENAY-MALABRY;92;19;11
2975;CHATILLON;92;20;11
2964;CHAVILLE;92;22;11
2970;CLAMART;92;23;11
2950;COLOMBES;92;25;11
2969;FONTENAY-AUX-ROSES;92;32;11
2957;GARCHES;92;33;11
2949;GENNEVILLIERS;92;36;11
2947;LA GARENNE-COLOMBES;92;35;11
2974;LE PLESSIS-ROBINSON;92;60;11
2977;MALAKOFF;92;46;11
2959;MEUDON;92;48;11
2958;SAINT-CLOUD;92;64;11
2973;SCEAUX;92;71;11
2960;SEVRES;92;72;11
2972;VANVES;92;75;11
2956;VAUCRESSON;92;76;11
2963;VILLE-D'AVRAY;92;77;11
2951;VILLENEUVE-LA-GARENNE;92;78;11
2961;BOULOGNE-BILLANCOURT;92;12;11
2456;ACHERES;78;5;11
2446;ANDRESY;78;15;11
2460;AUBERGENVILLE;78;29;11
2441;BAILLY;78;43;11
2484;BENNECOURT;78;57;11
2503;BEYNES;78;62;11
2409;BOIS D ARCY;78;73;11
2523;BONNELLES;78;87;11
