Id_vente;Date_transaction;Valeur;Id_bien
163;29/05/2020 00:00;371550;1143B22649
176;29/05/2020 00:00;193700;1202F6337
214;29/05/2020 00:00;137000;2738AB4652
255;29/05/2020 00:00;151000;264AA9537
410;29/05/2020 00:00;55500;419AK43337
415;29/05/2020 00:00;60000;4226AD116130
416;29/05/2020 00:00;45710;473E27744
417;29/05/2020 00:00;55500;473E27763
430;29/05/2020 00:00;63000;470AI12715
494;29/05/2020 00:00;65500;5139AA20203
498;29/05/2020 00:00;23000;596B3085187
504;29/05/2020 00:00;59800;561CL151120
510;29/05/2020 00:00;148000;596AC6835
525;29/05/2020 00:00;39000;5177AB8980
694;29/05/2020 00:00;148750;688IY2347
720;29/05/2020 00:00;810000;688HB35329
737;29/05/2020 00:00;66000;688IY512
871;29/05/2020 00:00;563000;688DK279204
922;29/05/2020 00:00;317000;688NM164265
1097;29/05/2020 00:00;90000;683AX3016
1099;29/05/2020 00:00;172000;683AX3417
1105;29/05/2020 00:00;122500;683BD242160
1112;29/05/2020 00:00;292000;612AE44712
1116;29/05/2020 00:00;165000;683AB349843
1128;29/05/2020 00:00;150000;683BD1428
1282;29/05/2020 00:00;387000;631A13603
1288;29/05/2020 00:00;67000;6150AB2273
1294;29/05/2020 00:00;52000;694AC51361
1301;29/05/2020 00:00;140000;654C75824
1304;29/05/2020 00:00;100000;6127AH110
1590;29/05/2020 00:00;3000;6155BY45
1596;29/05/2020 00:00;173000;64HC669
1599;29/05/2020 00:00;120000;6155AV319264
1612;29/05/2020 00:00;96000;64AW12763
1615;29/05/2020 00:00;527000;64AY192539
1616;29/05/2020 00:00;383800;64AO7020
1623;29/05/2020 00:00;202000;64BM6911
1624;29/05/2020 00:00;130000;6155AZ48537
1638;29/05/2020 00:00;282000;64BS415196
1641;29/05/2020 00:00;770500;6108BA715
1880;29/05/2020 00:00;117500;627AT349165
1881;29/05/2020 00:00;617000;6161A26445
1882;29/05/2020 00:00;123500;6161AP87117
1928;29/05/2020 00:00;147000;7255ZH2882
1932;29/05/2020 00:00;135000;7268A18879
1933;29/05/2020 00:00;53000;7186AP2144
1934;29/05/2020 00:00;105000;7349AN17549
2066;29/05/2020 00:00;53070;932A147819
2181;29/05/2020 00:00;68000;10387CS13554
2182;29/05/2020 00:00;132000;10387BM70453
2183;29/05/2020 00:00;49000;10362AE11931
2184;29/05/2020 00:00;54000;10387BY2495
2190;29/05/2020 00:00;82000;10387AD368106
2197;29/05/2020 00:00;39000;10387CI10625
2266;29/05/2020 00:00;90000;1169AW27022
2485;29/05/2020 00:00;59000;11145BV138761
2489;29/05/2020 00:00;63150;11262BL300520
2497;29/05/2020 00:00;145000;11266BH28064
2517;29/05/2020 00:00;118000;11262AC1982
2518;29/05/2020 00:00;55000;11170AT30130
2519;29/05/2020 00:00;127800;11170AX607
2526;29/05/2020 00:00;78860;11145BR3225
2544;29/05/2020 00:00;136520;11202DO8630
3753;29/05/2020 00:00;140000;14715AC1965
3755;29/05/2020 00:00;235000;14220AI2802
3761;29/05/2020 00:00;186900;14715AC11510
3762;29/05/2020 00:00;800000;14220AB320116
3765;29/05/2020 00:00;153000;14715AC2556
3781;29/05/2020 00:00;285000;14715AX7318
3783;29/05/2020 00:00;100000;14699AD210310
3787;29/05/2020 00:00;93957;14754AE211218
3794;29/05/2020 00:00;88000;14754AR90790
3797;29/05/2020 00:00;90000;14754AE238160
3798;29/05/2020 00:00;73909;14338AC218171
3799;29/05/2020 00:00;116000;14754AR90189
3800;29/05/2020 00:00;61000;14754AE246482
3940;29/05/2020 00:00;115000;17300EN3577
3944;29/05/2020 00:00;120000;17300EM919
3963;29/05/2020 00:00;202230;17168AP48618
4029;29/05/2020 00:00;95500;1833HX1106
4030;29/05/2020 00:00;84000;1833IO16224
4033;29/05/2020 00:00;181000;1833IO302
4034;29/05/2020 00:00;70000;18279DM669101
4153;29/05/2020 00:00;41500;22278CD3125
4156;29/05/2020 00:00;113000;2293AK11126
4157;29/05/2020 00:00;60400;22278AE1714412
4160;29/05/2020 00:00;430000;22278BH5806
4174;29/05/2020 00:00;63000;22278AT451
4176;29/05/2020 00:00;122000;2254AI59882
4250;29/05/2020 00:00;74500;2250AK36022
4258;29/05/2020 00:00;57000;22172AB43613
4312;29/05/2020 00:00;32000;2396AZ3096
4418;29/05/2020 00:00;112605;2556AM8024
4431;29/05/2020 00:00;105000;2556HW199141
4600;29/05/2020 00:00;128000;26235AC10944
4615;29/05/2020 00:00;80900;26198AC48934
4637;29/05/2020 00:00;126940;26324BS11322
4642;29/05/2020 00:00;59000;26362BK2205
4643;29/05/2020 00:00;49000;2658C42911
4726;29/05/2020 00:00;146950;27229BK296318
4731;29/05/2020 00:00;80000;27681XC51214
4736;29/05/2020 00:00;137000;27229XE36629
4844;29/05/2020 00:00;186800;28218AP551
4850;29/05/2020 00:00;49000;2885AV247179
4861;29/05/2020 00:00;79062;28229AY12683
4900;29/05/2020 00:00;90000;28334AC173
4901;29/05/2020 00:00;30500;2888AD325
4937;29/05/2020 00:00;195000;28113AI1355
